Game,MS_Store_Link,ProductID,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay
Va-11 Hall-A: Cyberpunk Bartender Action,https://www.xbox.com/en-us/games/store/VA-11-Hall-A-Cyberpunk-Bartender-Action/9P9C1HB78K05,9P9C1HB78K05,PC,,Removed,Dec 2020,Nov 2021,11.9,Jun 2016,4.45,77,11.0,Adventure / Simulation,,,,,,,,
Hello Neighbor,https://www.xbox.com/en-us/games/store/Hello-Neighbor/C0G1L18DT97K,C0G1L18DT97K,Xbox / PC,Touch Controls,Removed,Oct 2018,Nov 2021,37.3,Dec 2017,0.87,42,9.0,Strategy / Puzzle,,,,,,,,
SINNER: Sacrifice for Redemption,https://www.xbox.com/en-us/games/store/SINNER-Sacrifice-for-Redemption/9P015XPL7QZH,9P015XPL7QZH,PC,,Removed,Oct 2018,Nov 2021,37.13,Oct 2018,0.0,63,5.0,RPG / Action-Adventure,,,,,,,,
Oxenfree,https://www.xbox.com/en-us/games/store/Oxenfree/BSK1GN27RB8R,BSK1GN27RB8R,PC,Yes,Removed,Mar 2018,Nov 2021,44.7,Jan 2016,2.13,78,5.0,Adventure,,,,,,,,
Oxenfree,https://www.xbox.com/en-us/games/store/Oxenfree/BSK1GN27RB8R,BSK1GN27RB8R,PC,Yes,Removed,Mar 2018,Nov 2021,44.7,Jan 2016,2.13,78,5.0,Adventure,,,,,,,,
Rocket Knight,https://www.xbox.com/en-us/games/store/Rocket-Knight/BPN5TS0DS1KD,BPN5TS0DS1KD,XB360/OG Xbox,,GwG Permanent,Nov 2021,Nov 2021,0.47,Oct 2017,4.04,72,,Action-Adventure,,Backwards Compatible,,,,,,
Hover,https://www.xbox.com/en-us/games/store/Hover/BS39NGVS2SP7,BS39NGVS2SP7,XB1/Series X|S,,GwG Temporary,Oct 2021,Nov 2021,0.97,Aug 2017,4.2,69,,Action,,Backwards Compatible,,,,,,
River City Girls,https://www.xbox.com/en-us/games/store/River-City-Girls/9NN69HFJ8SX1,9NN69HFJ8SX1,Xbox / PC,Touch Controls,Removed,Nov 2020,Nov 2021,11.87,Sep 2019,1.21,80,7.0,Brawler,,,,,,,,
Star Renegades,https://www.xbox.com/en-us/games/store/Star-Renegades/9PK5S1QKV10D,9PK5S1QKV10D,Xbox / PC,Touch Controls,Removed,Nov 2020,Nov 2021,11.87,Sep 2020,0.2,79,9.0,RPG,,,,,,,,
Final Fantasy VIII: Remastered,https://www.xbox.com/en-us/games/store/FINAL-FANTASY-VIII-Remastered/9NNTSPSC35ZB,9NNTSPSC35ZB,Xbox / PC,,Removed,Nov 2020,Nov 2021,12.1,Sep 2019,1.19,78,42.0,Action / RPG,,,,,,,,
Planet Coaster,https://www.xbox.com/en-us/games/store/Planet-Coaster-Console-Edition/9NGRX7L5NB6M,9NGRX7L5NB6M,Xbox,Yes,Removed,Nov 2020,Nov 2021,12.17,Nov 2016,3.98,85,25.0,Simulation,Optimized,,,,,,,
Streets of Rogue,https://www.xbox.com/en-us/games/store/Streets-of-Rogue/9MZVTHHJKD3G,9MZVTHHJKD3G,Xbox / PC,Yes,Removed,Jun 2020,Nov 2021,16.67,Jul 2019,0.95,82,12.0,RPG / Shooter / Action-Adventure,,,,,,,,
The Gardens Between,https://www.xbox.com/en-us/games/store/The-Gardens-Between/9P4Z4TW66LPV,9P4Z4TW66LPV,Xbox / PC,Yes,Removed,Nov 2018,Nov 2021,35.53,Sep 2018,0.19,82,3.0,Adventure / Puzzle,FPS Boost,,,,,,,
Resident Evil Code: Veronica X,https://www.xbox.com/en-us/games/store/RESIDENT-EVIL-CODE-Veronica-X/BQW8J8XM62JW,BQW8J8XM62JW,XB360/OG Xbox,,GwG Permanent,Oct 2021,Oct 2021,0.47,Mar 2002,19.59,85,,Survival,,Backwards Compatible,,,,,,
Aaero,https://www.xbox.com/en-us/games/store/Aaero/BZR51XD70NKD,BZR51XD70NKD,XB1/Series X|S,,GwG Temporary,Oct 2021,Oct 2021,0.97,Jul 2016,5.25,74,,Action-Adventure,,Backwards Compatible,,,,,,
Comanche,https://www.xbox.com/en-us/games/store/Comanche/9N2H2GRB4D0K,9N2H2GRB4D0K,PC,,Removed,Nov 2020,Oct 2021,11.83,Mar 2020,0.65,45,5.0,Action / Shooter / First-Person Shooter / Vehicular Combat,,,,,,,,
Eastshade,https://www.xbox.com/en-us/games/store/Eastshade/9PLCR0FR564K,9PLCR0FR564K,Xbox / PC,Touch Controls,Removed,Nov 2020,Oct 2021,11.83,Feb 2019,1.73,78,12.0,Adventure,,,,,,,,
Knights and Bikes,https://www.xbox.com/en-us/games/store/Knights-and-Bikes/9P64KV1HQK07,9P64KV1HQK07,Xbox / PC,,Removed,Nov 2020,Oct 2021,11.83,Aug 2019,1.19,79,8.0,RPG / Action-Adventure,,,,,,,,
Five Nights at Freddy's,https://www.xbox.com/en-us/games/store/Five-Nights-at-Freddys/9N5253J559LR,9N5253J559LR,Xbox / PC,Yes,Removed,Oct 2020,Oct 2021,12.03,Aug 2014,6.2,78,2.0,Strategy / Adventure,,,,,,,,
Five Nights at Freddy's 2,https://www.xbox.com/en-us/games/store/Five-Nights-at-Freddys-2/9NBR2ZSD99FX,9NBR2ZSD99FX,Xbox / PC,Yes,Removed,Oct 2020,Oct 2021,12.03,Nov 2014,5.97,62,3.0,Strategy / Adventure,,,,,,,,
Five Nights at Freddy's 3,https://www.xbox.com/en-us/games/store/Five-Nights-at-Freddys-3/9P6N7LQ4HZFD,9P6N7LQ4HZFD,Xbox / PC,Yes,Removed,Oct 2020,Oct 2021,12.03,Mar 2015,5.66,68,2.0,Adventure,,,,,,,,
Five Nights at Freddy's 4,https://www.xbox.com/en-us/games/store/Five-Nights-at-Freddys-4/9PLDLMPLR7JV,9PLDLMPLR7JV,Xbox / PC,Yes,Removed,Oct 2020,Oct 2021,12.03,Jul 2015,5.27,51,2.0,Adventure,,,,,,,,
Unruly Heroes,https://www.xbox.com/en-us/games/store/Unruly-Heroes/9NBC54MT6KHX,9NBC54MT6KHX,Xbox / PC,Yes,Removed,Oct 2020,Oct 2021,12.03,Jan 2019,1.77,79,8.0,Brawler / Platformer / Action-Adventure,FPS Boost,,,,,,,
Carto,https://www.xbox.com/en-us/games/store/Carto/9NJ2XXPJVDRD,9NJ2XXPJVDRD,Xbox / PC,,Removed,Oct 2020,Oct 2021,12.1,Oct 2020,0.0,73,6.0,Adventure / Puzzle,,,,,,,,
Shantae: Half-Genie Hero,https://www.xbox.com/en-us/games/store/Shantae-Half-Genie-Hero/C016H4M7FPRC,C016H4M7FPRC,PC,,Removed,Oct 2018,Oct 2021,36.73,Dec 2016,1.78,76,6.0,Platformer,,,,,,,,
Shantae: Half-Genie Hero,https://www.xbox.com/en-us/games/store/Shantae-Half-Genie-Hero/C016H4M7FPRC,C016H4M7FPRC,PC,,Removed,Oct 2018,Oct 2021,36.73,Dec 2016,1.78,76,6.0,Platformer,,,,,,,,
Castlevania: Harmony of Despair,https://www.xbox.com/en-us/games/store/Castlevania-Harmony-of-Despair/BZS1294V9FQ3,BZS1294V9FQ3,XB360/OG Xbox,,GwG Permanent,Oct 2021,Oct 2021,0.47,May 2013,8.38,74,,Action,,Backwards Compatible,,,,,,
Mulaka,https://www.xbox.com/en-us/games/store/Mulaka/BZJH12CJ6N3R,BZJH12CJ6N3R,XB1/Series X|S,,GwG Temporary,Sep 2021,Oct 2021,0.97,May 2017,4.31,70,,Adventure,,,,,,,,
GoNNER2,https://www.xbox.com/en-us/games/store/GONNER2/9NRZHK9QN558,9NRZHK9QN558,Xbox / PC,Touch Controls,Removed,Oct 2020,Oct 2021,11.73,Oct 2020,0.0,75,7.0,Action / Platformer,Optimized,,,,,,,
Heave Ho,https://www.xbox.com/en-us/games/store/Heave-Ho/9P8JHRDVBLHB,9P8JHRDVBLHB,PC,,Removed,Oct 2020,Oct 2021,12.0,Aug 2019,1.13,76,4.0,Platformer,,,,,,,,
Tales of Vesperia: Definitive Edition,https://www.xbox.com/en-us/games/store/Tales-of-Vesperia-Definitive-Edition/BZBX8JFCDBPR,BZBX8JFCDBPR,Xbox / PC,,Removed,Oct 2020,Oct 2021,12.0,Jan 2019,1.76,80,46.0,RPG / Action-Adventure,,,,,,,,
The Swords of Ditto: Mormo's Curse,https://www.xbox.com/en-us/games/store/The-Swords-of-Ditto-Mormos-Curse/9NF2DDV5RTH8,9NF2DDV5RTH8,PC,,Removed,Oct 2020,Oct 2021,12.0,Apr 2018,2.48,76,7.0,Action / RPG,,,,,,,,
ScourgeBringer,https://www.xbox.com/en-us/games/store/ScourgeBringer/9NXPV1T3WS34,9NXPV1T3WS34,Xbox / PC,Touch Controls,Removed,Feb 2020,Oct 2021,20.3,Feb 2020,0.0,76,2.0,Platformer,,,,,,,,
ScourgeBringer,https://www.xbox.com/en-us/games/store/ScourgeBringer/9NXPV1T3WS34,9NXPV1T3WS34,Xbox / PC,Touch Controls,Removed,Feb 2020,Oct 2021,20.3,Feb 2020,0.0,76,2.0,Platformer,,,,,,,,
Samurai Shodown II,https://www.xbox.com/en-us/games/store/Samurai-Shodown-II/C1MRBXQVJVDQ,C1MRBXQVJVDQ,XB360/OG Xbox,,GwG Permanent,Sep 2021,Sep 2021,0.47,Jun 1995,26.26,80,,Fighting,,Backwards Compatible,,,,,,
Samurai Shodown II,https://www.xbox.com/en-us/games/store/Samurai-Shodown-II/C1MRBXQVJVDQ,C1MRBXQVJVDQ,XB360/OG Xbox,,GwG Permanent,Sep 2021,Sep 2021,0.47,Jun 1995,26.26,80,,Fighting,,Backwards Compatible,,,,,,
Warhammer: Chaosbane,https://www.xbox.com/en-us/games/store/Warhammer-Chaosbane-Xbox-One/C0GMGV6XH996,C0GMGV6XH996,XB1/Series X|S,,GwG Temporary,Sep 2021,Sep 2021,0.97,May 2019,2.25,64,,Action,,,,,,,,
Ikenfell,https://www.xbox.com/en-us/games/store/Ikenfell/9P91S5ZL1P4D,9P91S5ZL1P4D,Xbox / PC,Touch Controls,Removed,Oct 2020,Sep 2021,11.73,Oct 2020,0.0,74,19.0,RPG,,,,,,,,
Kathy Rain,https://www.xbox.com/en-us/games/store/Kathy-Rain/9P8HN2T2SZGB,9P8HN2T2SZGB,PC,,Removed,Sep 2020,Sep 2021,12.2,May 2016,4.39,77,6.0,Adventure,,,,,,,,
Night in the Woods,https://www.xbox.com/en-us/games/store/Night-in-the-Woods/C501VQFW8FQG,C501VQFW8FQG,Xbox / PC,Yes,Removed,Sep 2020,Sep 2021,12.2,Feb 2017,3.59,82,9.0,Adventure / Platformer,,,,,,,,
Drake Hollow,https://www.xbox.com/en-us/games/store/Drake-Hollow/9PGNGGWBX1NR,9PGNGGWBX1NR,Xbox / PC,Yes,Removed,Aug 2020,Sep 2021,13.07,Aug 2020,0.0,78,10.0,Action-Adventure,,,,,,,,
Yooka-Laylee,https://www.xbox.com/en-us/games/store/Yooka-Laylee/BZK6TK63SVMP,BZK6TK63SVMP,XB1/Series X|S,,GwG Temporary,Aug 2021,Sep 2021,0.97,Apr 2017,4.35,68,,Platformer,,,,,,,,
Yooka-Laylee,https://www.xbox.com/en-us/games/store/Yooka-Laylee/BZK6TK63SVMP,BZK6TK63SVMP,XB1/Series X|S,,GwG Temporary,Aug 2021,Sep 2021,0.97,Apr 2017,4.35,68,,Platformer,,,,,,,,
Forza Motorsport 7,https://www.xbox.com/en-us/games/store/Forza-Motorsport-7-Standard-Edition/9N3NK5WW05HT,9N3NK5WW05HT,Xbox / PC,Yes,Removed,Oct 2020,Sep 2021,11.23,Oct 2017,2.99,84,30.0,Driving/Racing,,,,,,,,
Company of Heroes 2: Complete Edition,https://www.xbox.com/en-us/games/store/Company-of-Heroes-2-Complete-Collection/9NX9WH5F0RZD,9NX9WH5F0RZD,PC,,Removed,Sep 2020,Sep 2021,11.93,Jun 2013,7.23,80,15.0,Real-Time Strategy,,,,,,,,
Disgaea 4 Complete+,https://www.xbox.com/en-us/games/store/Disgaea-4-Complete/9PFJDSL1CC7G,9PFJDSL1CC7G,PC,,Removed,Sep 2020,Sep 2021,12.17,Oct 2019,0.86,84,36.0,Strategy / RPG,,,,,,,,
Hotshot Racing,https://www.xbox.com/en-us/games/store/Hotshot-Racing/C11HCJPQFHH7,C11HCJPQFHH7,Xbox,Touch Controls,Removed,Sep 2020,Sep 2021,12.17,Sep 2020,0.0,77,1.0,Driving/Racing,,,,,,,,
The Dark Crystal: Age of Resistance Tactics,https://www.xbox.com/en-us/games/store/The-Dark-Crystal-Age-of-Resistance-Tactics/9NZWXT6VMGG8,9NZWXT6VMGG8,Xbox / PC,Touch Controls,Removed,Sep 2020,Sep 2021,12.17,Feb 2020,0.6,63,19.0,Strategy,,,,,,,,
Star Wars Battlefront II (Classic),https://www.xbox.com/en-us/games/store/Star-Wars-Battlefront-II/BPV56ZX2B8PJ,BPV56ZX2B8PJ,PC,,Removed,Mar 2021,Sep 2021,5.7,Nov 2005,15.38,78,8.0,Action / Shooter,,,,,,,,
Star Wars Republic Commando,https://www.xbox.com/en-us/games/store/Star-Wars-Republic-Commando/BRJB0RMH33T2,BRJB0RMH33T2,PC,,Removed,Mar 2021,Sep 2021,5.7,Feb 2005,16.06,78,9.0,First-Person Shooter,,,,,,,,
Star Wars Republic Commando,https://www.xbox.com/en-us/games/store/Star-Wars-Republic-Commando/BRJB0RMH33T2,BRJB0RMH33T2,PC,,Removed,Mar 2021,Sep 2021,5.7,Feb 2005,16.06,78,9.0,First-Person Shooter,,,,,,,,
The Escapists 2,https://www.xbox.com/en-us/games/store/The-Escapists-2/BS8XGCLL3VQZ,BS8XGCLL3VQZ,PC,Yes,Removed,Nov 2019,Sep 2021,21.43,Aug 2017,2.26,75,33.0,Strategy / Simulation,,,,,,,,
The Escapists 2,https://www.xbox.com/en-us/games/store/The-Escapists-2/BS8XGCLL3VQZ,BS8XGCLL3VQZ,PC,Yes,Removed,Nov 2019,Sep 2021,21.43,Aug 2017,2.26,75,33.0,Strategy / Simulation,,,,,,,,
Vambrace: Cold Soul,https://www.xbox.com/en-us/games/store/Vambrace-Cold-Soul/9N171CGFVT1L,9N171CGFVT1L,PC,Yes,Removed,Nov 2019,Sep 2021,21.6,May 2019,0.48,66,19.0,Action-Adventure,,,,,,,,
Yooka-Laylee,https://www.xbox.com/en-us/games/store/Yooka-Laylee/BZK6TK63SVMP,BZK6TK63SVMP,PC,,Removed,Oct 2019,Sep 2021,22.97,Apr 2017,2.5,75,15.0,Adventure / Platformer,,,,,,,,
Yooka-Laylee,https://www.xbox.com/en-us/games/store/Yooka-Laylee/BZK6TK63SVMP,BZK6TK63SVMP,PC,,Removed,Oct 2019,Sep 2021,22.97,Apr 2017,2.5,75,15.0,Adventure / Platformer,,,,,,,,
Garou: Mark of the Wolves,https://www.xbox.com/en-us/games/store/ACA-NEOGEO-GAROU-MARK-OF-THE-WOLVES/BZK8NDMJ3F3S,BZK8NDMJ3F3S,XB360/OG Xbox,,GwG Permanent,Aug 2021,Aug 2021,0.47,May 2015,6.28,84,,Fighting,,Backwards Compatible,,,,,,
Garou: Mark of the Wolves,https://www.xbox.com/en-us/games/store/ACA-NEOGEO-GAROU-MARK-OF-THE-WOLVES/BZK8NDMJ3F3S,BZK8NDMJ3F3S,XB360/OG Xbox,,GwG Permanent,Aug 2021,Aug 2021,0.47,May 2015,6.28,84,,Fighting,,Backwards Compatible,,,,,,
Darksiders III,https://www.xbox.com/en-us/games/store/Darksiders-III/BSVZCMGZV52L,BSVZCMGZV52L,XB1/Series X|S,,GwG Temporary,Aug 2021,Aug 2021,0.97,Nov 2018,2.68,72,,Action-Adventure,,Backwards Compatible,,,,,,
Darksiders III,https://www.xbox.com/en-us/games/store/Darksiders-III/BSVZCMGZV52L,BSVZCMGZV52L,XB1/Series X|S,,GwG Temporary,Aug 2021,Aug 2021,0.97,Nov 2018,2.68,72,,Action-Adventure,,Backwards Compatible,,,,,,
Double Kick Heroes,https://www.xbox.com/en-us/games/store/Double-Kick-Heroes/9NJPT63K27W8,9NJPT63K27W8,Xbox / PC,Touch Controls,Removed,Aug 2020,Aug 2021,12.1,Aug 2020,0.04,76,3.0,Shooter / Music/Rhythm,,,,,,,,
Double Kick Heroes,https://www.xbox.com/en-us/games/store/Double-Kick-Heroes/9NJPT63K27W8,9NJPT63K27W8,Xbox / PC,Touch Controls,Removed,Aug 2020,Aug 2021,12.1,Aug 2020,0.04,76,3.0,Shooter / Music/Rhythm,,,,,,,,
Blair Witch,https://www.xbox.com/en-us/games/store/Blair-Witch/9NG7LG421V0Q,9NG7LG421V0Q,Xbox / PC,Yes,Removed,Aug 2019,Aug 2021,24.0,Aug 2019,0.0,66,5.0,Adventure,,,,,,,,
Dear Esther: Landmark Edition,https://www.xbox.com/en-us/games/store/Dear-Esther-Landmark-Edition/BXDTBRPVQZHK,BXDTBRPVQZHK,PC,,Removed,Mar 2021,Aug 2021,5.07,Feb 2012,9.09,68,2.0,Adventure,,,,,,,,
Mugsters,https://www.xbox.com/en-us/games/store/Mugsters/BS3X8KWG86LZ,BS3X8KWG86LZ,PC,,Removed,Mar 2021,Aug 2021,5.07,Jul 2018,2.67,75,15.0,Action / Puzzle / Platformer,,,,,,,,
Overcooked: Gourmet Edition,https://www.xbox.com/en-us/games/store/Overcooked-2-Gourmet-Edition/9P3STQMKNS70,9P3STQMKNS70,PC,,Removed,Mar 2021,Aug 2021,5.07,Jun 2017,3.74,81,8.0,Shoot 'Em Up,,,,,,,,
The Escapists,https://www.xbox.com/en-us/games/store/The-Escapists/BZDK396HW2G8,BZDK396HW2G8,PC,,Removed,Mar 2021,Aug 2021,5.07,Feb 2015,6.1,71,19.0,Strategy / Simulation,,,,,,,,
The Escapists,https://www.xbox.com/en-us/games/store/The-Escapists/BZDK396HW2G8,BZDK396HW2G8,PC,,Removed,Mar 2021,Aug 2021,5.07,Feb 2015,6.1,71,19.0,Strategy / Simulation,,,,,,,,
Madden NFL 19,https://www.xbox.com/en-us/games/store/Madden-NFL-19-Pre-Order-Offer/C458LX8072N7,C458LX8072N7,Xbox / PC,,Removed,Nov 2020,Aug 2021,9.33,Aug 2018,2.26,81,13.0,Sports / Football,,,,,,,,
Yoku's Island Express,https://www.xbox.com/en-us/games/store/Yokus-Island-Express/BP63MT1VJV6X,BP63MT1VJV6X,PC,,Removed,Aug 2019,Aug 2021,24.17,May 2018,1.21,83,6.0,Pinball / Platformer,,Removed from Game Pass 8/15/20,,,,,,
Yoku's Island Express,https://www.xbox.com/en-us/games/store/Yokus-Island-Express/BP63MT1VJV6X,BP63MT1VJV6X,PC,,Removed,Aug 2019,Aug 2021,24.17,May 2018,1.21,83,6.0,Pinball / Platformer,,Removed from Game Pass 8/15/20,,,,,,
Vampyr,https://www.xbox.com/en-us/games/store/VAMPYR/9NT2QNP382V6,9NT2QNP382V6,PC,,Removed,Mar 2019,Aug 2021,28.73,Jun 2018,0.81,71,17.0,Action / RPG,,,,,,,,
Lost Planet 3,https://www.xbox.com/en-us/games/store/Lost-Planet-3/BTVQW5LF9JPV,BTVQW5LF9JPV,XB360/OG Xbox,,GwG Permanent,Aug 2021,Aug 2021,0.47,Aug 2013,7.93,63,,Action,,Backwards Compatible,,,,,,
Rock of Ages 3: Make & Break,https://www.xbox.com/en-us/games/store/Rock-of-Ages-3-Make-Break/9N9KSXHRNHW1,9N9KSXHRNHW1,XB1/Series X|S,,GwG Temporary,Jul 2021,Aug 2021,0.97,Jul 2020,0.99,63,,Strategy,,,,,,,,
Don't Starve: Giant Edition,https://www.xbox.com/en-us/games/store/Dont-Starve-Giant-Edition/C0XBNVR137DZ,C0XBNVR137DZ,Xbox / PC,Touch Controls,Removed,Aug 2020,Aug 2021,11.83,Sep 2014,5.97,75,36.0,Simulation,FPS Boost,,,,,,,
Crossing Souls,https://www.xbox.com/en-us/games/store/Crossing-Souls/9PD1Z95CNTW4,9PD1Z95CNTW4,PC,,Removed,Aug 2020,Aug 2021,11.83,Feb 2018,2.52,70,9.0,Action-Adventure,,,,,,,,
Final Fantasy VII,https://www.xbox.com/en-us/games/store/FINAL-FANTASY-VII/BWKXQC5BL5R1,BWKXQC5BL5R1,Xbox / PC,,Removed,Aug 2020,Aug 2021,12.07,Jan 1997,23.54,92,38.0,Fantasy / Post-Apocalyptic,,,,,,,,
Darksiders Genesis,https://www.xbox.com/en-us/games/store/Darksiders-Genesis/BRZ9553VPPBD,BRZ9553VPPBD,Xbox / PC,Yes,Removed,Aug 2020,Aug 2021,12.3,Dec 2019,0.67,77,14.0,RPG / Action-Adventure,,,,,,,,
Train Sim World 2020,https://www.xbox.com/en-us/games/store/Train-Sim-World-2020/BTSX4FPVX6V5,BTSX4FPVX6V5,Xbox / PC,Yes,Removed,Mar 2020,Aug 2021,17.33,Jul 2018,1.61,76,13.0,Simulation,,,,,,,,
Ape Out,https://www.xbox.com/en-us/games/store/Ape-Out/9NR6DZ9F76P8,9NR6DZ9F76P8,PC,,Removed,Aug 2019,Aug 2021,23.77,Feb 2019,0.48,83,3.0,Action,,,,,,,,
Planet Alpha,https://www.xbox.com/en-us/games/store/Planet-Alpha/BNVZJ5ZB3WH6,BNVZJ5ZB3WH6,XB1/Series X|S,,GwG Temporary,Jul 2021,Jul 2021,0.97,Jun 2019,2.05,69,,Action-Adventure,,Backwards Compatible,,,,,,
It Lurks Below,https://www.xbox.com/en-us/games/store/It-Lurks-Below/9PFW68JLS81F,9PFW68JLS81F,Xbox / PC,,Removed,Aug 2020,Jul 2021,11.8,May 2019,1.19,45,8.0,Action / RPG,,,,,,,,
UnderMine,https://www.xbox.com/en-us/games/store/UnderMine/9N52CQMFH3BB,9N52CQMFH3BB,Xbox / PC,Touch Controls,Removed,Aug 2020,Jul 2021,11.8,Aug 2019,0.96,80,5.0,RPG / Action-Adventure,,,,,,,,
The Touryst,https://www.xbox.com/en-us/games/store/The-Touryst/9N9W1JK1X5QJ,9N9W1JK1X5QJ,Xbox / PC,Touch Controls,Removed,Jul 2020,Jul 2021,12.0,Nov 2019,0.69,79,5.0,Puzzle / Action-Adventure,Optimized,,,,,,,
Shadows: Awakening,https://www.xbox.com/en-us/games/store/Shadows-Awakening/C1LMJJ64FV3J,C1LMJJ64FV3J,XB1/Series X|S,,GwG Temporary,Jun 2021,Jul 2021,0.97,Aug 2017,3.79,76,,RPG,,,,,,,,
Endless Space 2: Deluxe Edition,https://www.xbox.com/en-us/games/store/Endless-Space-2-Deluxe-Edition/9NV3Q7WVN2RB,9NV3Q7WVN2RB,PC,,Removed,Jul 2020,Jul 2021,12.2,May 2017,3.14,80,13.0,Strategy,,,,,,,,
Downwell,https://www.xbox.com/en-us/games/store/Downwell/9P641Z19NT2S,9P641Z19NT2S,PC,,Removed,Aug 2019,Jul 2021,23.47,Oct 2015,3.79,81,8.0,Platformer / Shoot 'Em Up,,,,,,,,
CrossCode,https://www.xbox.com/en-us/games/store/CrossCode/9N04RQQ64524,9N04RQQ64524,Xbox / PC,,Removed,Jun 2019,Jul 2021,25.17,May 2015,4.07,86,32.0,RPG / Dual-Joystick Shooter / Action-Adventure,Optimized,,,,,,,
EA Sports UFC,https://www.xbox.com/en-us/games/store/EA-SPORTS-UFC/BXLW311NX101,BXLW311NX101,Xbox,,Removed,Nov 2020,Jul 2021,8.13,Jun 2014,6.4,70,11.0,Sports / Fighting,,,,,,,,
EA Sports UFC 2,https://www.xbox.com/en-us/games/store/EA-SPORTS-UFC/BXLW311NX101,BXLW311NX101,Xbox,,Removed,Nov 2020,Jul 2021,8.13,Mar 2016,4.65,76,6.0,Sports / Fighting,,,,,,,,
Injustice: Gods Among Us,https://www.xbox.com/en-us/games/store/Injustice-Gods-Among-Us/C24DMFCJKDH2,C24DMFCJKDH2,XB360/OG Xbox,,GwG Permanent,Jun 2021,Jun 2021,0.47,Apr 2013,8.17,83,,Fighting,,Backwards Compatible,,,,,,
Injustice: Gods Among Us,https://www.xbox.com/en-us/games/store/Injustice-Gods-Among-Us/C24DMFCJKDH2,C24DMFCJKDH2,XB360/OG Xbox,,GwG Permanent,Jun 2021,Jun 2021,0.47,Apr 2013,8.17,83,,Fighting,,Backwards Compatible,,,,,,
The King's Bird,https://www.xbox.com/en-us/games/store/The-Kings-Bird/9NZ5057NL64C,9NZ5057NL64C,XB1/Series X|S,,GwG Temporary,Jun 2021,Jun 2021,0.97,Feb 2017,4.29,76,,Platformer,,,,,,,,
Out of the Park Baseball 21,https://www.xbox.com/en-us/games/store/Out-of-the-Park-Baseball-21/9NNW9V8DVPG6,9NNW9V8DVPG6,PC,,Removed,Jul 2020,Jun 2021,11.97,Mar 2020,0.28,87,34.0,Strategy / Sports / Simulation / Baseball,,,,,,,,
SoulCalibur VI,https://www.xbox.com/en-us/games/store/SOULCALIBUR-VI/C3V22FQD8N84,C3V22FQD8N84,Xbox,,Removed,Jul 2020,Jun 2021,11.97,Oct 2018,1.7,84,7.0,Fighting,,,,,,,,
Battle Chasers: Nightwar,https://www.xbox.com/en-us/games/store/Battle-Chasers-Nightwar/BNVPW9NHWNM5,BNVPW9NHWNM5,Xbox / PC,Yes,Removed,Jun 2019,Jun 2021,24.7,Oct 2017,1.68,84,29.0,Action / RPG,FPS Boost,,,,,,,
The Messenger,https://www.xbox.com/en-us/games/store/The-Messenger/9P5C81K094KW,9P5C81K094KW,Xbox / PC,Yes,Removed,Jun 2019,Jun 2021,24.7,Aug 2018,0.78,83,11.0,Action / Platformer / Action-Adventure,,,,,,,,
Monster Hunter: World,https://www.xbox.com/en-us/games/store/MONSTER-HUNTER-WORLD/BNG91PT95LQN,BNG91PT95LQN,Xbox,Yes,Removed,Apr 2019,Jun 2021,26.4,Jan 2018,1.23,90,49.0,Action / RPG,,,,,,,,
Marvel vs. Capcom: Infinite,https://www.xbox.com/en-us/games/store/Marvel-vs-Capcom-Infinite-Deluxe-Edition/9PHW1HL2ZXJK,9PHW1HL2ZXJK,Xbox / PC,Yes,Removed,Apr 2019,Jun 2021,26.97,Sep 2017,1.53,77,4.0,Fighting,,,,,,,,
NeoGeo Battle Coliseum,https://www.xbox.com/en-us/games/store/NEOGEO-BATTLE-COLISEUM/C17X452NQ0SX,C17X452NQ0SX,XB360/OG Xbox,,GwG Permanent,Jun 2021,Jun 2021,0.47,Dec 2006,14.49,72,,Fighting,,Backwards Compatible,,,,,,
NeoGeo Battle Coliseum,https://www.xbox.com/en-us/games/store/NEOGEO-BATTLE-COLISEUM/C17X452NQ0SX,C17X452NQ0SX,XB360/OG Xbox,,GwG Permanent,Jun 2021,Jun 2021,0.47,Dec 2006,14.49,72,,Fighting,,Backwards Compatible,,,,,,
Dungeons 3,https://www.xbox.com/en-us/games/store/Dungeons-3/BPB96BRZ1V3C,BPB96BRZ1V3C,XB1/Series X|S,,GwG Temporary,May 2021,Jun 2021,0.97,Feb 2017,4.28,75,,Strategy,,,,,,,,
Observation,https://www.xbox.com/en-us/games/store/Observation/9PBLH1322GX0,9PBLH1322GX0,Xbox / PC,Yes,Removed,Jun 2020,Jun 2021,11.67,May 2019,1.09,79,6.0,Action-Adventure,,,,,,,,
West of Dead,https://www.xbox.com/en-us/games/store/West-of-Dead/9NTZCWK6P6GL,9NTZCWK6P6GL,Xbox / PC,Yes,Removed,Jun 2020,Jun 2021,11.9,Jun 2020,0.0,71,12.0,Action / Shooter / Dual-Joystick Shooter,,,,,,,,
Ace Combat 7: Skies Unknown,https://www.xbox.com/en-us/games/store/ACE-COMBAT-7-SKIES-UNKNOWN/BZ45MMFWZP7F,BZ45MMFWZP7F,Xbox,,Removed,Mar 2020,Jun 2021,14.87,Jan 2019,1.18,79,11.0,Flight Simulator,,,,,,,,
